Date,Close,High,Low,Open,Volume
8/2/2021,236.5566711,242.3133392,232.8000031,233.3333282,100847400
8/3/2021,236.5800018,240.8833313,233.6699982,239.6666718,64860900
8/4/2021,236.9733276,241.6333313,236.3099976,237,51007800
8/5/2021,238.2100067,240.3166656,237.136673,238.6666718,38758800
8/6/2021,233.0333405,238.7766724,232.543335,237.3000031,46869000
8/9/2021,237.9199982,239.6766663,235.043335,236.7233276,44145900
8/10/2021,236.6633301,238.863327,233.9600067,237.9966736,40296900
8/11/2021,235.9400024,238.3933258,234.7366638,237.5700073,29401800
8/12/2021,240.75,240.9333344,233.1333313,235.4466705,52377300
8/13/2021,239.0566711,243.3000031,238.113327,241.2366638,50194500
8/16/2021,228.7233276,236.5,225.4666595,235.0233307,68032200
8/17/2021,221.9033356,224.8600006,216.2799988,224.2200012,71163900
8/18/2021,229.6633301,231.9233398,223.1166687,223.25,61048200
8/19/2021,224.4900055,228.8500061,222.5299988,226.0700073,42940500
8/20/2021,226.7533264,230.7100067,224.5666656,227.6166687,44525700
8/23/2021,235.4333344,237.3766632,226.9166718,228.4799957,60794700
8/24/2021,236.1633301,238.406662,234.2133331,236.8933258,39249300
8/25/2021,237.0666656,238.9900055,234.6666718,235.6766663,37936800
8/26/2021,233.7200012,238.4666595,232.5399933,236.1033325,39642900
8/27/2021,237.3066711,238.3333282,234.0333405,235,41501400
8/30/2021,243.636673,243.6666718,237.5766602,238.2400055,55812600
8/31/2021,245.2400055,246.7966614,242.1466675,244.3333282,62566200
9/1/2021,244.6966705,247.3300018,243.7566681,244.6933289,39612900
9/2/2021,244.1300049,246.9900055,243.5133362,244.8333282,38331900
9/3/2021,244.5233307,244.6666718,241.3999939,244.0833282,45738300
9/7/2021,250.9733276,253.3999939,246.4199982,246.6666718,60119400
9/8/2021,251.2899933,254.8166656,246.9233398,253.8600006,56379000
9/9/2021,251.6199951,254.0333405,250.543335,251.136673,42233100
9/10/2021,245.4233398,254.2033386,244.8399963,253.1999969,45552600
9/13/2021,247.6666718,248.2599945,236.2833405,246.7366638,68857500
9/14/2021,248.1633301,251.4900055,245.4666595,247.5233307,55574700
9/15/2021,251.9433289,252.2866669,246.1199951,248.3333282,46073100
9/16/2021,252.3300018,252.9700012,249.2033386,250.9433289,41770200
9/17/2021,253.1633301,253.6799927,250,252.3833313,84612600
9/20/2021,243.3899994,247.3333282,239.5399933,244.8533325,74273100
9/21/2021,246.4600067,248.2466736,243.4799957,244.9299927,48992100
9/22/2021,250.6466675,251.2233276,246.3733368,247.843338,45378900
9/23/2021,251.2133331,252.7333374,249.3066711,251.6666718,35842500
9/24/2021,258.1300049,258.2666626,248.1866608,248.6300049,64119000
9/27/2021,263.7866821,266.3333435,256.436676,257.706665,84212100
9/28/2021,259.186676,265.2133179,255.3933258,262.3999939,76144200
9/29/2021,260.436676,264.5,256.8933411,259.9333191,62828700
9/30/2021,258.4933472,263.043335,258.3333435,260.3333435,53868000
10/1/2021,258.4066772,260.2600098,254.5299988,259.4666748,51094200
10/4/2021,260.5100098,268.9899902,258.706665,265.5,91449900
10/5/2021,260.1966553,265.769989,258.0666809,261.6000061,55297800
10/6/2021,260.9166565,262.2200012,257.7399902,258.7333374,43898400
10/7/2021,264.5366821,268.3333435,261.1266785,261.8200073,57587400
10/8/2021,261.8299866,265.4599915,260.3033447,265.4033203,50215800
10/11/2021,263.980011,267.0799866,261.8333435,262.5499878,42600900
10/12/2021,268.5733337,270.7733459,265.5233459,266.9766541,66060000
10/13/2021,270.3599854,271.8033447,268.5933228,270.1566772,42360300
10/14/2021,272.7733459,273.4166565,271.1166687,271.8299866,36741600
10/15/2021,281.0100098,281.0700073,274.1166687,274.5799866,56773800
10/18/2021,290.0366821,291.7533264,283.8233337,283.9299927,72621600
10/19/2021,288.0899963,292.6499939,287.5033264,292.5100098,52143300
10/20/2021,288.6000061,289.8299866,285.793335,288.4500122,42096300
10/21/2021,298,300,285.1666565,285.3333435,94444500
10/22/2021,303.2266541,303.3333435,296.9866638,298.5,68642400
10/25/2021,341.6199951,348.3399963,314.7333374,316.8433228,188556300
10/26/2021,339.4766541,364.980011,333.813324,341.563324,187245000
10/27/2021,345.9533386,356.9599915,343.5933228,346.5533447,115579500
10/28/2021,359.0133362,360.3333435,351.3999939,356.1033325,81639600
10/29/2021,371.3333435,371.7366638,357.7366638,360.6199951,89755200
11/1/2021,402.8633423,403.25,372.8866577,381.6666565,168146100
11/2/2021,390.6666565,402.8633423,382,386.4533386,128213400
11/3/2021,404.6199951,405.1300049,384.206665,392.4433289,103885500
11/4/2021,409.9700012,414.4966736,405.6666565,411.4700012,76192200
11/5/2021,407.3633423,413.2900085,402.6666565,409.3333435,64886400
11/8/2021,387.6466675,399,377.6666565,383.2633362,100337100
11/9/2021,341.1666565,391.5,337.1733398,391.2000122,177317400
11/10/2021,355.9833374,359.3666687,329.1033325,336.8033447,128408100
11/11/2021,354.5033264,368.3233337,351.5599976,367.5899963,67189800
11/12/2021,344.4733276,351.5,339.7333374,349.1666565,76719300
11/15/2021,337.7966614,343.9933472,326.2000122,339.2099915,104326800
11/16/2021,351.5766602,352.3999939,334.0599976,334.436676,79627200
11/17/2021,363.0033264,373.2133179,351.8333435,354.5033264,94336200
11/18/2021,365.4599915,370.6666565,358.3399963,368.8500061,62696700
11/19/2021,379.019989,379.5733337,364.2333374,366.2900085,64926900
11/22/2021,385.6233215,400.6499939,377.4766541,387.4433289,99217500
11/23/2021,369.6766663,393.5,354.2333374,389.1700134,108515100
11/24/2021,372,377.5899963,354,360.1300049,67680600
11/26/2021,360.6400146,369.5933228,360.3333435,366.4899902,35042700
11/29/2021,378.9966736,380.8900146,366.730011,366.9966736,58393500
11/30/2021,381.5866699,389.3333435,372.6666565,381.456665,81276000
12/1/2021,365,390.9466553,363.5866699,386.8999939,68450400
12/2/2021,361.5333252,371,352.2166748,366.3533325,73114800
12/3/2021,338.3233337,363.5266724,333.4033203,361.5966797,92322000
12/6/2021,336.3366699,340.5466614,316.8333435,333.8366699,81663000
12/7/2021,350.5833435,352.5566711,342.269989,348.0666809,56084700
12/8/2021,356.3200073,357.4599915,344.3333435,350.9033203,41906400
12/9/2021,334.6000061,354.1633301,334.1199951,353.5466614,59438400
12/10/2021,339.0100098,340.3266602,327.5100098,336.25,59664300
12/13/2021,322.1366577,335,317.1400146,333.6966553,78595500
12/14/2021,319.5033264,322.1366577,310,315,70806300
12/15/2021,325.3299866,326.25,309.4166565,317.7366638,75169200
12/16/2021,308.9733276,331.6600037,307.2833252,331.5,82771500
12/17/2021,310.8566589,320.2200012,303.0133362,304.9233398,100437300
12/20/2021,299.980011,307.230011,297.7966614,303.5666809,56480100
12/21/2021,312.8433228,313.1666565,295.3733215,305.6233215,71517900
12/22/2021,336.2900085,338.5533447,319.0166626,321.8866577,93634200
12/23/2021,355.6666565,357.6600037,332.519989,335.6000061,92713200
12/27/2021,364.6466675,372.3333435,356.9066772,357.8900146,71145900
12/28/2021,362.8233337,373,359.4733276,369.8299866,60324000
12/29/2021,362.063324,368,354.7133179,366.2133179,56154000
12/30/2021,356.7799988,365.1833191,351.0499878,353.7766724,47040900
12/31/2021,352.2600098,360.6666565,351.5299988,357.813324,40733700
1/3/2022,399.9266663,400.3566589,378.6799927,382.5833435,103931400
1/4/2022,383.1966553,402.6666565,374.3500061,396.5166626,100248300
1/5/2022,362.706665,390.1133423,360.3366699,382.2166748,80119800
1/6/2022,354.8999939,362.6666565,340.1666565,359,90336600
1/7/2022,342.3200073,360.3099976,336.6666565,360.1233215,84164700
1/10/2022,352.706665,353.0333252,326.6666565,333.3333435,91815000
1/11/2022,354.7999878,358.6166687,346.2733459,351.2233276,66063300
1/12/2022,368.7399902,371.6133423,357.5299988,359.6166687,83739000
1/13/2022,343.8533325,371.8666687,342.1799927,369.6900024,97209900
1/14/2022,349.8699951,350.6666565,337.793335,339.9599915,72924300
1/18/2022,343.5033264,356.9299927,338.686676,342.2033386,66743400
1/19/2022,331.8833313,351.5566711,331.6666565,347.2366638,75442500
1/20/2022,332.0899963,347.2200012,331.3333435,336.5766602,70488600
1/21/2022,314.6333313,334.8500061,313.5,332.1133423,103416000
1/24/2022,310,311.1700134,283.8233337,301.5866699,151565700
1/25/2022,306.1333313,317.0866699,301.0700073,304.7333374,86595900
1/26/2022,312.4700012,329.230011,302,317.4766541,104867400
1/27/2022,276.3666687,311.7966614,276.3333435,311.1199951,147109500
1/28/2022,282.1166687,285.8333435,264.0033264,277.186676,134789100
1/31/2022,312.2399902,312.6633301,287.3500061,290.9033203,104436000
2/1/2022,310.4166565,314.5666809,301.6666565,311.7366638,73138200
2/2/2022,301.8866577,310.5,296.4700012,309.3933411,66792900
2/3/2022,297.0466614,312.3333435,293.5066528,294,78855600
2/4/2022,307.7733459,312.1666565,293.7233276,299.0733337,73625400
2/7/2022,302.4466553,315.9233398,300.9033203,307.9299927,60994500
2/8/2022,307.3333435,308.7633362,298.2666626,301.8433228,50729100
2/9/2022,310.6666565,315.4233398,306.6666565,311.6666565,52259400
2/10/2022,301.5166626,314.6033325,298.8999939,302.7900085,66126900
2/11/2022,286.6666565,305.3200073,283.5666809,303.2099915,79645800
2/14/2022,291.9200134,299.6266785,284.3833313,287.1900024,67756500
2/15/2022,307.4766541,307.6666565,297.793335,300,57286200
2/16/2022,307.7966614,308.8099976,300.4033203,304.6833191,51294300
2/17/2022,292.1166687,306.1666565,291.3666687,304.4200134,55178400
2/18/2022,285.6600037,295.6233215,279.2033386,295.3333435,68501700
2/22/2022,273.8433228,285.5766602,267.0333252,278.043335,83288100
2/23/2022,254.6799927,278.4333191,253.5200043,276.8099976,95256900
2/24/2022,266.9233398,267.4933472,233.3333282,233.4633331,135322200
2/25/2022,269.956665,273.1666565,260.7999878,269.7433472,76067700
2/28/2022,290.1433411,292.2866821,271.5700073,271.6700134,99006900
